Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"ANDERSSON, Miss Erna Alexandra",1895,,16,Female,3rd Class Passenger,3101281,£7             18s             6d,,Southampton,,SAVED,,,Finnish,https://www.encyclopedia-titanica.org/titanic-survivor/erna-andersson.html
"ANDERSSON, Miss Ida Augusta Margareta",1873,1912,38,Female,3rd Class Passenger,347091,£7             15s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ida-augusta-margareta-andersson.html
"ANDERSSON, Miss Ingeborg Constanzia",1902,1912,9,Female,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ingeborg-constanzia-andersson.html
"ANDERSSON, Miss Sigrid Elisabeth",1900,1912,11,Female,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/sigrid-elisabeth-andersson.html
"ANDERSSON, Mr Anders Johan",1873,1912,39,Male,3rd Class Passenger,347082,£31             5s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/anders-andersson.html
"ANDERSSON, Mr Johan Samuel",1885,1912,26,Male,3rd Class Passenger,347075,£7             15s             6d,,Southampton,Carpenter / Joiner,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/johan-samuel-andersson.html
"ANDERSSON, Mrs Alfrida Konstantia Brogren",1872,1912,39,Female,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/alfrida-konstantia-brogren-andersson.html
"ANDREASSON, Mr Pål Edvin",1892,1912,20,Male,3rd Class Passenger,347466,£7             17s             1d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/paul-edvin-andreasson.html
"ANDREW, Mr Edgar Samuel",1895,1912,17,Male,2nd Class Passenger,231945,£11             10s,,Southampton,,LOST,,,"English, Argentinian",https://www.encyclopedia-titanica.org/titanic-victim/edgar-samuel-andrew.html
"ANDREW, Mr Frank Thomas",1885,1912,26,Male,2nd Class Passenger,34050,£10             10s,,Southampton,Miner,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-thomas-andrew.html
